city,cost_one_person_usd,rent_one_person_usd,monthly_salary_after_tax_usd,income_after_rent_usd,months_covered,cost_one_person_inr,rent_one_person_inr,monthly_salary_after_tax_inr,income_after_rent_inr,usd_to_inr_rate_used,source_url
India vs Poland - Cost of Living Comparison,424.0,185.0,334.0,149.0,0.8,37254.25,16254.8,29346.51,13091.71,87.8638,https://livingcost.org/cost/india/poland
Cost of Living in Puducherry,327.0,128.0,421.0,293.0,1.3,28731.46,11246.57,36990.66,25744.09,87.8638,https://livingcost.org/cost/india/py
Cost of Living in Rajasthan,338.0,111.0,345.0,234.0,1.0,29697.96,9752.88,30313.01,20560.13,87.8638,https://livingcost.org/cost/india/rj
Cost of Living in Jaipur,337.0,125.0,341.0,216.0,0.9,29610.1,10982.98,29961.56,18978.58,87.8638,https://livingcost.org/cost/india/rj/jaipur
Cost of Living in Jodhpur,301.0,114.0,326.0,212.0,1.0,26447.0,10016.47,28643.6,18627.13,87.8638,https://livingcost.org/cost/india/rj/jodhpur
"Cost of Living in Kota, Rajasthan",290.0,115.0,361.0,246.0,1.1,25480.5,10104.34,31718.83,21614.49,87.8638,https://livingcost.org/cost/india/rj/kota
India vs Russia - Cost of Living Comparison,424.0,185.0,334.0,149.0,0.8,37254.25,16254.8,29346.51,13091.71,87.8638,https://livingcost.org/cost/india/russia
India vs Saudi Arabia - Cost of Living Comparison,424.0,185.0,334.0,149.0,0.8,37254.25,16254.8,29346.51,13091.71,87.8638,https://livingcost.org/cost/india/saudi-arabia
India vs Singapore - Cost of Living Comparison,424.0,185.0,334.0,149.0,0.8,37254.25,16254.8,29346.51,13091.71,87.8638,https://livingcost.org/cost/india/singapore
India vs South Korea - Cost of Living Comparison,424.0,185.0,334.0,149.0,0.8,37254.25,16254.8,29346.51,13091.71,87.8638,https://livingcost.org/cost/india/south-korea
India vs Spain - Cost of Living Comparison,424.0,185.0,334.0,149.0,0.8,37254.25,16254.8,29346.51,13091.71,87.8638,https://livingcost.org/cost/india/spain
India vs Sri Lanka - Cost of Living Comparison,424.0,185.0,334.0,149.0,0.8,37254.25,16254.8,29346.51,13091.71,87.8638,https://livingcost.org/cost/india/sri-lanka
India vs Switzerland - Cost of Living Comparison,424.0,185.0,334.0,149.0,0.8,37254.25,16254.8,29346.51,13091.71,87.8638,https://livingcost.org/cost/india/switzerland
India vs Taiwan - Cost of Living Comparison,424.0,185.0,334.0,149.0,0.8,37254.25,16254.8,29346.51,13091.71,87.8638,https://livingcost.org/cost/india/taiwan
Cost of Living in Telangana,444.0,163.0,304.0,141.0,0.7,39011.53,14321.8,26710.6,12388.8,87.8638,https://livingcost.org/cost/india/tg
"Cost of Living in Hyderabad, Telangana",470.0,170.0,290.0,120.0,0.6,41295.99,14936.85,25480.5,10543.66,87.8638,https://livingcost.org/cost/india/tg/hyderabad
